title,genre,description,director,cast
Kathanar - The Wild Sorcerer,"Action, Adventure, Drama","Kadamattathu Kathanar, the legendary priest who is believed to have lived in Kadamattom and possessed supernatural powers.",Rojin Thomas,"['Anushka Shetty', 'Jayasurya', 'Kulpreet Yadav']"
Kannur Squad,"Crime, Drama, Thriller",Follows a squad of police officers dedicated to finding and catching elusive criminals.,Roby Varghese Raj,"['Mammootty', 'Sajin Cherukayil', 'Resh Lamba', 'Rony David']"
Oru Bhayankara Kamukan,"Comedy, Romance",A Comedy - Romance Entertainer Helmed By Lal Jose.,Lal Jose,['Dulquer Salmaan']
Nancy Rani,Comedy,"It follows the story of Nancy Rani, a girl with big dreams, one of which is becoming a movie star, but when she has the opportunity to become an actress, she experiences a big tragedy.",Joseph Manu James,"['Indrans', 'Lena', 'Lal', 'Aju Varghese']"
Bruce Lee,"Action, Thriller",Star Unni Mukundan Sivakarthikeyan Namitha Pramod Jagapathi Babu,Vysakh,"['Nikhila Vimal', 'Unni Mukundan', 'Shine Tom Chacko', 'Jagapathi Babu']"
Drishyam 3,"Family, Thriller","Third part of the Drishyam series, revolving around the story of George Kutty and family.",Jeethu Joseph,"['Mohanlal', 'Meena', 'Ansiba', 'Esther Anil']"
Vampires of Vijay Nagar,"Comedy, Horror, Thriller","A determined historian, sifts through old manuscripts, seeking clues about the mysterious legends of vampires in Vijay Nagar.",Amar Kaushik,"['Samantha Ruth Prabhu', 'Ayushmann Khurrana', 'Aparshakti Khurana', 'Vinay Pathak']"
Khajuraho Dreams,"Adventure, Drama","Showcases how the friends decided to go on a bike journey from Kochi to Khajuraho via Wayanad, Mysore, Hubli and Nashik.",Manoj Vasudev,"['Sharafudheen', 'Johny Antony', 'Arjun Ashokan', 'Saiju Kurup']"
Soorya,"Crime, Drama, Thriller",A retired police officer with adept investigative skills accidentally gets involved in a crime case after his ex-wife's unexpected demise.,M. Padmakumar,"['Sunny Deol', 'Ravi Kishan', 'Tanushree Chakraborty', 'Virti Vaghani']"
Spirit,null,A gang leader tries to keep a promise made to his dying friend and takes on the other criminal gangs.,Sandeep Reddy Vanga,['Prabhas']
Antony,Thriller,"When a police officer awakens, his car is buried in the ground, and he is imprisoned inside. His father and girlfriend are pursuing the individuals who might have a reason to abduct him in an effort to find him even as he makes his escape.",Joshiy,"['Nyla Usha', 'Joju George', 'Chemban Vinod Jose', 'Kalyani Priyadarshan']"
Ameer,"Action, Crime, Drama",Add a Plot,Vinod Vijayan,['Mammootty']
Kaathal - The Core,Drama,Add a Plot,Jeo Baby,"['Mammootty', 'Jyotika', 'Adarsh Sukumaran', 'Muthumani']"
Kaantha,null,Plot under wraps.,Selvamani Selvaraj,['Dulquer Salmaan']
Khalifa,"Crime, Thriller",Add a Plot,Vysakh,['Prithviraj Sukumaran']
Hanuman Gear,Thriller,Follows a youngster as he participates in the off-road drives. He uses the 'Hanuman gear' when he faces problems.,Sudheesh Sankar,"['Fahadh Faasil', 'Koushik Mahata']"
Karachi 81,"Action, Drama, Thriller",It is based on the story of India's finest insurgency commando.,K.S. Bava,"['Prithviraj Sukumaran', 'Tovino Thomas', 'Soubin Shahir', 'Joju George']"
NP43,null,Add a Plot,Dijo Jose Antony,"['Nivin Pauly', 'Dhyan Sreenivasan']"
Sesham Mikeil Fathima,Comedy,Tells the story of a football announcer in Malappuram.,Manu C. Kumar,"['Maala Parvathi', 'Kalyani Priyadarshan', 'Shaheen Siddique', 'Femina George']"
Aaravam,"Action, Romance",Showcases two gangs who have been rivals for years. Everything escalates when a college student is dragged into it.,Nahas Hidayath,"['Antony Varghese', 'Ann Sheetal', 'Shine Tom Chacko', 'Renji Panicker']"
Odum Kuthira Chadum Kuthira,Comedy,Add a Plot,Althaf Salim,['Fahadh Faasil']
Varshangalkku Shesham,null,Plot under wraps.,Vineeth Sreenivasan,"['Nivin Pauly', 'Pranav Mohanlal', 'Basil Joseph']"
